Country,Year,any_all,any_married,any_modern_all,any_active_unmarried,any_modern_married,any_modern_active_unmarried
Colombia,1983 [YR1983],..,..,..,..,..,..
Colombia,1984 [YR1984],..,..,..,..,..,..
Colombia,1985 [YR1985],..,..,..,..,..,..
Colombia,1986 [YR1986],38.9,64.8,31.9,64.2,52.4,56.3
Colombia,1987 [YR1987],..,..,..,..,..,..
Colombia,1988 [YR1988],..,..,..,..,..,..
Colombia,1989 [YR1989],..,..,..,..,..,..
Colombia,1990 [YR1990],39.9,66.1,33,65,54.6,46.4
Colombia,1991 [YR1991],..,..,..,..,..,..
Colombia,1992 [YR1992],..,..,..,..,..,..
Colombia,1993 [YR1993],..,..,..,..,..,..
Colombia,1994 [YR1994],..,..,..,..,..,..
Colombia,1995 [YR1995],48.1,72.2,39.5,74.9,59.3,56.8
Colombia,1996 [YR1996],..,..,..,..,..,..
Colombia,1997 [YR1997],..,..,..,..,..,..
Colombia,1998 [YR1998],..,..,..,..,..,..
Colombia,1999 [YR1999],..,..,..,..,..,..
Colombia,2000 [YR2000],52.8,76.9,43.8,84.1,64,64
Colombia,2001 [YR2001],..,..,..,..,..,..
Colombia,2002 [YR2002],..,..,..,..,..,..
Colombia,2003 [YR2003],..,..,..,..,..,..
Colombia,2004 [YR2004],..,..,..,..,..,..
Colombia,2005 [YR2005],56.4,78.2,49.4,81,68.2,68.2
Colombia,2006 [YR2006],..,..,..,..,..,..
Colombia,2007 [YR2007],..,..,..,..,..,..
Colombia,2008 [YR2008],..,..,..,..,..,..
Colombia,2009 [YR2009],..,..,..,..,..,..
Colombia,2010 [YR2010],61.2,79.1,56.9,81.6,72.9,75.1
Colombia,2011 [YR2011],..,..,..,..,..,..
Colombia,2012 [YR2012],..,..,..,..,..,..
Colombia,2013 [YR2013],..,..,..,..,..,..
Colombia,2014 [YR2014],..,..,..,..,..,..
Colombia,2015 [YR2015],64.9,81,61.4,82.5,75.9,77.7
Colombia,2016 [YR2016],61.1,80.9,57.8,..,75.9,..
Colombia,2017 [YR2017],..,..,..,..,..,..
Colombia,2018 [YR2018],..,..,..,..,..,..
Colombia,2019 [YR2019],..,..,..,..,..,..
Colombia,2020 [YR2020],..,..,..,..,..,..
Colombia,2021 [YR2021],..,..,..,..,..,..
Colombia,2022 [YR2022],..,..,..,..,..,..
Colombia,2023 [YR2023],..,..,..,..,..,..
Chile,1970 [YR1970],..,..,..,..,..,..
Chile,1971 [YR1971],..,..,..,..,..,..
Chile,1972 [YR1972],..,..,..,..,..,..
Chile,1973 [YR1973],..,..,..,..,..,..
Chile,1974 [YR1974],..,..,..,..,..,..
Chile,1975 [YR1975],..,..,..,..,..,..
Chile,1976 [YR1976],..,..,..,..,..,..
Chile,1977 [YR1977],..,..,..,..,..,..
Chile,1978 [YR1978],..,..,..,..,..,..
Chile,1979 [YR1979],..,..,..,..,..,..
Chile,1980 [YR1980],..,..,..,..,..,..
Chile,1981 [YR1981],..,..,..,..,..,..
Chile,1982 [YR1982],..,..,..,..,..,..
Chile,1983 [YR1983],..,..,..,..,..,..
Chile,1984 [YR1984],..,..,..,..,..,..
Chile,1985 [YR1985],..,..,..,..,..,..
Chile,1986 [YR1986],..,..,..,..,..,..
Chile,1987 [YR1987],..,..,..,..,..,..
Chile,1988 [YR1988],..,..,..,..,..,..
Chile,1989 [YR1989],..,..,..,..,..,..
Chile,1990 [YR1990],..,..,..,..,..,..
Chile,1991 [YR1991],..,..,..,..,..,..
Chile,1992 [YR1992],..,..,..,..,..,..
Chile,1993 [YR1993],..,..,..,..,..,..
Chile,1994 [YR1994],..,..,..,..,..,..
Chile,1995 [YR1995],..,..,..,..,..,..
Chile,1996 [YR1996],..,..,..,..,..,..
Chile,1997 [YR1997],..,..,..,..,..,..
Chile,1998 [YR1998],..,..,..,..,..,..
Chile,1999 [YR1999],..,..,..,..,..,..
Chile,2000 [YR2000],..,..,..,..,..,..
Chile,2001 [YR2001],60.7,..,58.2,..,..,..
Chile,2002 [YR2002],..,..,..,..,..,..
Chile,2003 [YR2003],..,..,..,..,..,..
Chile,2004 [YR2004],..,..,..,..,..,..
Chile,2005 [YR2005],..,..,..,..,..,..
Chile,2006 [YR2006],..,64.2,..,..,64.2,..
Chile,2007 [YR2007],..,..,..,..,..,..
Chile,2008 [YR2008],..,..,..,..,..,..
Chile,2009 [YR2009],..,..,..,..,..,..
Chile,2010 [YR2010],..,..,..,..,..,..
Chile,2011 [YR2011],..,..,..,..,..,..
Chile,2012 [YR2012],..,..,..,..,..,..
Chile,2013 [YR2013],..,..,..,..,..,..
Chile,2014 [YR2014],..,..,..,..,..,..
Chile,2015 [YR2015],..,..,..,..,..,..
Chile,2016 [YR2016],64.3,76.3,59.9,..,69.8,..
Chile,2017 [YR2017],..,..,..,..,..,..
Chile,2018 [YR2018],..,..,..,..,..,..
Chile,2019 [YR2019],..,..,..,..,..,..
Chile,2020 [YR2020],..,..,..,..,..,..
Chile,2021 [YR2021],..,..,..,..,..,..
Chile,2022 [YR2022],..,..,..,..,..,..
Chile,2023 [YR2023],..,..,..,..,..,..
Ecuador,1970 [YR1970],..,..,..,..,..,..
Ecuador,1971 [YR1971],..,..,..,..,..,..
Ecuador,1972 [YR1972],..,..,..,..,..,..
Ecuador,1973 [YR1973],..,..,..,..,..,..
Ecuador,1974 [YR1974],..,..,..,..,..,..
Ecuador,1975 [YR1975],..,..,..,..,..,..
Ecuador,1976 [YR1976],..,..,..,..,..,..
Ecuador,1977 [YR1977],..,..,..,..,..,..
Ecuador,1978 [YR1978],..,..,..,..,..,..
Ecuador,1979 [YR1979],..,35,..,..,..,..
Ecuador,1980 [YR1980],..,..,..,..,..,..
Ecuador,1981 [YR1981],..,..,..,..,..,..
Ecuador,1982 [YR1982],..,39.2,..,..,..,..
